YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1983,2,26,12.91,-4.76,4.08,12.55,13.54,20.65,7.12
1983,2,27,12.83,-4.83,4.0,12.09,13.35,20.26,6.9
1983,2,28,15.29,-6.62,4.33,14.05,16.29,24.1,7.8
1983,3,1,17.01,-3.92,6.55,16.15,12.91,24.3,11.38
1983,3,2,17.46,-2.5,7.48,16.92,13.91,25.52,11.62
1983,3,3,16.59,-4.05,6.27,16.37,15.2,24.79,9.58
1983,3,4,16.12,-4.43,5.85,15.58,13.8,24.2,10.4
1983,3,5,15.48,-7.09,4.19,15.02,16.1,24.5,8.4
1983,3,6,15.67,-9.02,3.32,14.3,14.62,23.86,9.23
1983,3,7,16.71,-8.96,3.87,14.77,13.6,23.89,10.29
1983,3,8,18.3,-4.21,7.05,17.23,14.51,26.76,12.25
1983,3,9,19.13,-0.4,9.37,18.89,14.54,27.25,12.71
1983,3,10,20.56,-0.58,9.99,20.28,16.9,29.98,13.08
1983,3,11,21.02,-0.15,10.44,19.78,14.84,29.47,14.62
1983,3,12,20.18,-4.05,8.07,19.37,15.66,29.58,13.93
1983,3,13,19.01,-5.96,6.52,18.67,13.85,27.1,13.25
1983,3,14,20.08,-4.83,7.63,19.51,14.9,28.83,13.93
1983,3,15,18.01,-0.27,8.87,18.22,14.36,26.01,11.64
1983,3,16,18.25,-1.38,8.44,17.49,13.12,25.57,12.45
1983,3,17,18.51,-3.59,7.46,17.58,12.02,25.35,13.33
1983,3,18,19.27,-2.88,8.2,19.55,15.87,27.7,11.83
1983,3,19,20.92,-1.52,9.69,20.71,14.98,29.67,14.69
1983,3,20,17.91,6.68,12.3,18.94,11.2,24.54,13.33
1983,3,21,15.19,5.8,10.5,15.46,11.19,20.71,9.52
1983,3,22,13.2,-5.45,3.88,13.35,14.16,21.08,6.92
1983,3,23,14.94,-7.02,3.97,14.18,15.61,23.44,7.83
1983,3,24,16.61,-7.32,4.65,14.94,14.46,24.15,9.7
1983,3,25,19.3,-3.76,7.77,18.77,15.21,27.69,12.49
1983,3,26,20.19,-1.08,9.56,19.67,15.02,28.44,13.4
1983,3,27,19.98,-2.17,8.91,19.97,17.09,28.99,11.9
1983,3,28,18.98,-7.17,5.9,18.68,16.46,27.85,11.39
1983,3,29,18.44,-11.09,3.68,18.01,16.93,27.5,10.58
1983,3,30,18.93,-13.69,2.62,17.51,17.09,28.24,11.15
1983,3,31,20.23,-13.56,3.34,18.76,15.46,29.27,13.8
1983,4,1,22.05,-11.88,5.08,20.5,15.83,31.08,15.25
1983,4,2,21.82,-8.13,6.84,21.05,15.48,30.55,15.07
1983,4,3,23.07,-1.45,10.81,23.05,14.05,30.48,16.44
1983,4,4,23.26,-1.4,10.93,23.52,13.84,31.58,17.75
1983,4,5,22.9,-1.88,10.51,22.98,16.8,31.89,15.09
1983,4,6,21.5,-2.05,9.73,21.57,13.73,29.58,15.85
1983,4,7,22.5,-1.17,10.66,22.78,15.16,30.82,15.66
1983,4,8,22.05,-0.48,10.79,22.48,15.0,30.59,15.58
1983,4,9,21.56,-2.6,9.48,22.22,16.32,30.3,13.98
1983,4,10,21.69,-0.99,10.35,22.76,15.72,29.88,14.16
1983,4,11,20.61,-3.49,8.56,21.15,15.34,28.78,13.44
1983,4,12,20.84,-4.98,7.94,21.39,15.81,28.9,13.09
1983,4,13,18.08,1.94,10.01,18.91,7.33,22.31,14.98
1983,4,14,18.9,4.37,11.64,19.83,11.22,25.35,14.14
1983,4,15,16.87,6.6,11.73,17.37,6.82,20.61,13.78
1983,4,16,15.42,10.12,12.77,16.33,6.44,19.12,12.69
1983,4,17,18.01,7.77,12.89,18.47,11.85,23.92,12.06
1983,4,18,20.31,7.56,13.94,20.73,11.3,26.62,15.32
1983,4,19,19.53,6.48,13.01,20.67,10.88,25.75,14.86
1983,4,20,19.78,2.37,11.08,20.17,13.4,27.39,13.99
1983,4,21,20.25,1.01,10.63,20.42,13.78,27.68,13.9
1983,4,22,22.0,2.08,12.04,22.07,14.05,29.33,15.28
1983,4,23,21.2,5.07,13.14,21.72,11.54,27.13,15.59
1983,4,24,23.04,2.18,12.61,23.15,15.98,31.2,15.23
1983,4,25,22.26,3.3,12.78,22.72,12.13,29.05,16.92
1983,4,26,22.73,4.8,13.76,23.01,12.47,29.68,17.21
1983,4,27,23.26,6.38,14.82,24.15,14.05,30.41,16.37
1983,4,28,24.84,5.22,15.03,25.43,14.66,32.26,17.61
1983,4,29,25.05,3.18,14.12,25.59,16.38,32.98,16.6
1983,4,30,25.82,2.08,13.95,26.28,19.01,35.19,16.19
1983,5,1,25.77,3.15,14.46,26.61,15.69,33.14,17.45
1983,5,2,25.13,4.84,14.99,26.41,14.04,32.25,18.21
1983,5,3,24.7,3.32,14.01,25.97,14.14,31.87,17.73
1983,5,4,26.24,-0.99,12.62,26.44,16.82,34.69,17.87
1983,5,5,26.03,2.76,14.39,26.89,15.16,33.84,18.69
1983,5,6,25.19,5.12,15.15,25.99,15.66,32.27,16.62
1983,5,7,25.94,4.09,15.01,26.73,15.71,33.23,17.51
1983,5,8,26.58,3.76,15.17,27.22,14.84,33.91,19.07
1983,5,9,25.77,7.55,16.66,26.85,11.92,31.98,20.05
1983,5,10,24.72,10.19,17.45,26.79,11.23,30.37,19.14
1983,5,11,22.95,11.11,17.03,24.98,11.86,29.12,17.26
1983,5,12,22.42,10.82,16.62,24.09,9.22,27.83,18.62
1983,5,13,22.3,11.31,16.8,24.23,10.61,27.51,16.9
1983,5,14,25.09,9.65,17.37,26.79,12.6,31.48,18.88
1983,5,15,26.22,9.37,17.8,27.12,9.7,30.98,21.28
1983,5,16,25.92,8.73,17.33,27.08,14.27,32.53,18.26
1983,5,17,25.89,9.55,17.72,27.1,13.15,32.05,18.9
1983,5,18,24.19,11.95,18.07,25.08,11.67,29.9,18.23
1983,5,19,24.87,10.64,17.76,26.14,13.53,32.03,18.5
1983,5,20,24.47,11.08,17.78,24.95,12.95,30.87,17.92
1983,5,21,24.76,11.72,18.24,25.73,12.12,30.57,18.44
1983,5,22,23.58,13.44,18.51,24.84,8.98,28.01,19.02
1983,5,23,23.71,12.98,18.34,25.35,10.91,29.65,18.73
1983,5,24,23.06,9.55,16.3,24.23,10.93,28.73,17.81
1983,5,25,23.94,7.26,15.6,24.87,13.48,30.4,16.92
1983,5,26,24.95,8.81,16.88,26.01,13.35,31.15,17.8
1983,5,27,25.85,8.85,17.35,26.99,14.02,32.83,18.81
1983,5,28,26.83,9.09,17.96,27.92,15.2,34.17,18.97
1983,5,29,26.78,9.14,17.96,28.07,15.48,34.3,18.81
1983,5,30,26.65,8.8,17.72,28.06,15.16,33.73,18.58
1983,5,31,26.88,8.26,17.57,27.96,12.96,33.19,20.23
1983,6,1,28.06,8.12,18.09,29.02,14.19,35.15,20.96
1983,6,2,28.76,9.83,19.3,29.83,14.27,35.63,21.36
